golden_id,record_id,asin,category,q_bucket,question_type,pipeline,k,question,gold_answer,evidence_doc_id,is_answerable,retrieved_doc_ids,retrieved_context,retrieval_ms
G_001,REC_001,B003HV3WN6,Automotive,medium,descriptive,pc,3,Does this work on 12 and 24 volts system,[UNANSWERABLE],,0,"[""KB_00006"", ""KB_00003"", ""KB_00008""]","[""When people say it is just a test light they are comparing apples to oranges. I am just a shade tree mechanic and I can say if you can get one get it. You can check out the electrical section at Realfixesrealfast.com and see it at work. just go to the video section. Hope this helps."", ""Love this power probe 3. Takes the place of a light tester, multimeter, work light!!! It is the best thing since sliced bread, lol. Love this tool!! !"", ""To find a break in a circuit, just test along the way till you lose the voltage. For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes! Power Probe's website has videos on how to use it cleverly, and I recommend you take the tutorial.""]",97.43587500997819
G_002,REC_002,B0000E2PBX,Health_and_Personal_Care,long,descriptive,pc,3,"The ball completely blocks air from passing by to get to my lungs, is this supposed to happen? Are you supposed to get NO air when inhaling? The instructions state ""inhale...until you feel your lungs are full"" but that doesn't happen with the ball completely blocking all air from passing into your mouth. thanks.",[UNANSWERABLE],,0,"[""KB_00014"", ""KB_00012"", ""KB_00011""]","[""I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active. I can feel them working differently than they usually do, and it's quite a workout!It's analogous to the benefit that a really bulked-up football player gets when he stretches. Most of the time he's contracting his muscles, but it's important that he lengthen them, too."", ""After just my first session using this i felt it was easier to inhale and take in a full breath..."", ""In closing I can truthfully say that one can get just as much effectiveness by inhaling deeply, exhaling through pursed lips with teeth inhibiting the flow of air. You can make this as easy or difficult as you wish and do it anywhere and at anytime. Approximately the same idea as the Ultrabreathe. I do both.""]",27.150666996021755
G_003,REC_003,B004XMVZVY,Toys_and_Games,medium,descriptive,pc,3,How many are in the pack??,There is only 1 in a pack.,KB_00030,1,"[""KB_00025"", ""KB_00030"", ""KB_00029""]","[""Who doesn't like to easily throw _anything_ 70+ yards! I've had a few of these over the years, and they keep getting better. Surprisingly durable. Anyone can pick it up and throw it much, much farther than they think. Easily. The whistling effect only makes it better, and quite frankly, makes it easier to hone in on to catch! Just as a heads up--the Nerf website says the MSRP is NINE BUCKS!"", ""This made playing football on a 1/4 mile street WAY more fun. Not everyone can throw a football. I've never met anyone who can't throw one of these. When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2. Gotta bring these back!"", ""This toy is great and I highly recommend it.""]",32.64379200118128
G_004,REC_004,B0010WP46M,Electronics,long,descriptive,pc,3,"Does the power adaptor work with international voltages? Basically want to know if the power adaptor will work overseas as well (220 V), and what the power output of that adaptor is (for eg. 5V DC at 500 ma?).",Yes. It supports 100V-240V,KB_00032,1,"[""KB_00036"", ""KB_00032"", ""KB_00035""]","[""I bought this as a Christmas gift and it never worked at all. Would not even power on. Very sad and embarrassing. I wish I had spent the money on a more reliable name brand."", ""I spent a great deal of time on Amazon's website to look for digital photo frames. My requirements, were crisp picture, 7 inch screen, international power supply (110-220V), MP3 music playing during picture slideshow and below $70 USD. The Axion-9702 does it all. It came in a nice box (good gift), quality of product was great, and most important good decent pictures. The product is made in China but show me one that is not."", ""Most users in the reviews seem to be pretty much in the know of what they are doing and I trust their opinions on the CONS of this device. I'd strongly recommend taking the time and purchase one at WalMart.""]",25.317708001239225
G_005,REC_005,B0012YKLSE,Home_and_Kitchen,medium,descriptive,pc,3,What are the measurements for this item?,[UNANSWERABLE],,0,"[""KB_00046"", ""KB_00049"", ""KB_00045""]","[""i was glad to find this extra large sink protector for use in our new kitchen. It protects both the sink and the dishes in our new sink that is more than 25 inches wide. The unit is sturdy and easy to keep clean."", ""Your product works perfect for my large sink. Thank you for selling this larger size on amazon as not found locally"", ""it fit my sink perfectly, looks great, but most importantly it can withstand tons of weight without breaking. i have a 1-piece rectangular deep sink, therefore, i can fit way more dishes in my sink than a regular 2-part sink. i had my sink full to the brim (with pots in there too) and this guy here, held up really well. no problems with it breaking.""]",10.9136670071166
G_006,REC_006,B004OFOT72,Sports_and_Outdoors,long,descriptive,pc,3,hi does anyone know if it will take a scope and could you hunt bull frogs with it if you wanted to,"The crossbow comes with a scope of its own, and if sighted in properly you could probably hit a bull frog",KB_00060,1,"[""KB_00059"", ""KB_00060"", ""KB_00055""]","[""I purchased the 150 Lbs Camo Crossbow with Scope and Arrows for my husband for hunting season. He loves it and it works great! It was a great buy for the price and it came with some arrows. The only negative feedback was that the crossbow string was pretty difficult to get on, but other than that, we have no complaints about this crossbow!"", ""good starter crossbow for target practice/sport/small game, not sure if it will do good for large game hunting?? must stock up on bolts and strings  also....not a bad investment tool is a Crossbow Double Handle Cocking Device"", ""Seems good. scope is small and for air rifles. It isnt the camo one it the picture at all. It is wood and black metal but seems sturdy.""]",26.84808400226757
G_007,REC_007,B005XUNG5I,Health_and_Personal_Care,short,descriptive,pc,3,what is the power source?,"Batteries, but I found it to be weak.",KB_00064,1,"[""KB_00067"", ""KB_00061"", ""KB_00062""]","[""At this point I wish I'd have paid the extra to get one with a power cord.Please note that the replacement cartridges are NOT cheap but the durability seems good."", ""It is ok but if it was electric it would of been better. To me it could have more power"", ""Needs more power I find the engine does not have enough grunt for my liking.""]",27.13137499813456
G_008,REC_008,B002LAS5TU,Home_and_Kitchen,long,descriptive,pc,3,"Does the lids fit on the pans also? For example, does the large pot lid fit on the large pan?",The largest ps. Is the only one that a lid doesn't fit. This is a great set for the money,KB_00072,1,"[""KB_00072"", ""KB_00073"", ""KB_00071""]","[""I love these pans. The fry pans do not come with lids, but most lids are interchangeable for these pans. Nothing sticks to them! They are very easy to wash. They heat evenly. I have ordered more. This seller also gets the product out quickly."", ""One of the pot cover did not fit properly.Can't believe the handle fell off after a  month. I would not recommend."", ""I haven't used my set very long yet, but they cook well so far, have a comfortable handle and  I love the glass lids which seem to have a good fit. They are also very easy to clean. I have been buying additional pieces to add to the original set of 8 . The box says that they can be washed in the dish washer but I hand wash them like I have done others in the past. so far....so good!""]",27.772999994340353
G_009,REC_009,B00AR1A7ZU,Pet_Supplies,long,descriptive,pc,3,How big is the part that actually goes in the tank? I'm trying to figure out if it will fit in my (very small) sump.,[UNANSWERABLE],,0,"[""KB_00081"", ""KB_00088"", ""KB_00086""]","[""No more coming home to my return pump inhaling all that air. Works great for my 55 gallon with 10 gallon sump."", ""I picked this up for my 30g cube tank and has come in handy from the start. It was easy to setup and works like a charm. I just drop the pump/sensor into a 5gal container with RO water and it keeps my tank filled to the exact mark I want and keeps the protein skimmer working perfectly."", ""This thing is a life saver!! Very accurate and easy to install. I was using a dosing pump before, I can't believe I waited this long to buy one of these. By far the best investment I've made for my tank.""]",25.926000002073124
G_010,REC_010,B000GU3KHO,Automotive,long,descriptive,pc,3,I have a Harley Dyna Switchback with windshield and saddle bags.  Is the XL the right size for me?,[UNANSWERABLE],,0,"[""KB_00091""]","[""Comes with a neat holding bag that it wraps up into relatively easily. A size XL fits my '94 Honda CB1000 without a windshield perfectly.""]",26.693749998230487
G_011,REC_011,B008URGSWO,Home_and_Kitchen,long,descriptive,pc,3,"how thick is it, really?  some say 1/2"", some say 2"", 2-1/2"".  does it flatten out?  comparing it to the extra plush, extra thick pad, what would one?","Mine is just shy of a full 2 inches at the plushest points. Mine has not flattened out. All my shoulder pain is gone. My wife no longer has back pain. I didn't want to spend this much but now that I have it, I consider every dime spent well worth it.",KB_00093,1,"[""KB_00094"", ""KB_00100"", ""KB_00093""]","[""When this mattress pad arrived I was so pleased to find it to be as it was described, extra thick and it was. Now that I have used it for approximately one month it has already begun to flatten. Materials used were nice but it is not going to hold up as described. Very disappointed."", ""Wasn't as thick as I'd hoped but it does seem to work very well with the heat issue from my very firm memory foam icomfort mattress. I did end up buying a cheep ($40) 1 1/2 inch mattress pad from Walmart and put this mattress pad on top of that and my bed is much more comfortable now and I don't sweat all night!"", ""For one thing, it isn't thick enough to sag. I would estimate it as approximately 1.5 to 2\"" thick, though the quilted construction makes it difficult to measure. When you lay on it, the loft compresses but does not collapse--meaning that it gives you softness and support, but runs none of the back-pain-inducing risks that we've experienced with thick memory foam mattresses and toppers.Unlike memory foam, the Downlite topper is not nearly as hot at night.""]",27.998124991427176
G_012,REC_012,B000ST0184,Toys_and_Games,medium,descriptive,pc,3,how can I make it wireless for my win 8.1 PC?,"Interesting question. I don't think there is a direct or easy way to do this. The tankstick is basically a big keyboard. Each button/joystick direction is a keyboard button. Knowing this, it would require some type of modification to convert it to a wireless keyboard. It sounds like a project worth attempting. Sorry, I probably didn't help at all.",KB_00102,1,"[""KB_00106"", ""KB_00108"", ""KB_00103""]","[""I tried to use this on my PC and had a hard time calibrating it. I thought is was the size of a keyboard but this thing is pretty big and heavy. I'm going to try again soon and hopefully I'll have better luck."", ""I see articles that Microsoft didn't license them to make Xbox 360 devices, so I wonder if an Xbox 360 adapter ever existed or ever will.Their web site is confusing. None of the links for Mac MAME games lead me to a MAME application that would install and work, so I think they should update their web site for Mac users with regards to MAME.They fail to mention that you NEED a PC2 Keyboard in order to program the keys. I've been to 4 stores and can't find one."", ""Here is my Day 1 Review. I opened this thing up and wow, it is impressive. My only knock on it was that it wasn't calibrated perfectly. The IT guys told me how to do it (which was actually fun knowing how it works, and DOESN'T VOID THE WARRANTY!) and now it works like a breeze. I will keep you posted how I like it as I move on!UPDATE: This thing is absolutely awesome!""]",30.04450000298675
G_013,REC_013,B0013ODWSO,Sports_and_Outdoors,long,descriptive,pc,3,Does the white scooter have the same specs as the micro black one?,[UNANSWERABLE],,0,"[""KB_00113"", ""KB_00112"", ""KB_00117""]","[""I loved this scooter my husband got one and I got one for my selfIs perfect  I recommended to buy one"", ""A very good push scooter.I began with an entry level of the brand Micro. I wanted to know my boundaries.And now, with this high end model, I can tell my dream becomes reality. It's very steady. It is lower than the other models and then I need less push kicks to go straight. I have the feeling to be quicker in comparison with my older previous kickscooter.The only weakness is the break. It was broken only one month after my purchase."", ""This scooter is very pretty! It has a very sporty look. Kinda big and heavier than other scooters to deal with, but it looks so nice!""]",24.938832997577265
G_014,REC_014,B005F79BYE,Home_and_Kitchen,long,descriptive,pc,3,Does this offer the option of shelving instead of hanging clothes inside the doors?,[UNANSWERABLE],,0,"[""KB_00129"", ""KB_00130"", ""KB_00125""]","[""I received an Armoire Wardrobe Storage Cabinet from Target Decor and More.I was very disappointed when removing the unassembled pieces from the boxing to find severa of the edges damaged on the cabinet. Made of partical board and damages very easily. I went ahead and assembled the cabinet for my daughter's Birthday present but was very dissatisfied as to the condition that it came in."", ""I bought this for my son , his apt. has no closet in the bedroom and this armoire fit perfect in his room all his stuff fit perfect and it is the same color wood as his bedroom set , I definetly recommend this armoire to anyone"", ""This is a good buy. I bought two wardrobes at the same time. This one was a third the price, easier to assemble and looks and feels solid and of good quality. Worth the price and i wish I had bought two of these instead of the other one.This is the other wardrobe.http://www.amazon.com/gp/product/B00HT26CW2/ref=oh_details_o06_s00_i00?ie=UTF8&psc;=1""]",21.593124998616986
G_015,REC_015,B00ATDT83I,Cell_Phones_and_Accessories,long,descriptive,pc,3,Hello. I'd like to know if this cell phone works properly in Venezuela for DIGITEL.,[UNANSWERABLE],,0,"[""KB_00139"", ""KB_00136"", ""KB_00132""]","[""excelente! funciona bien, llego en muy buen estado y el telefono cumple con las expectativas asi que lo recomiendo sigan asi!! !"", ""Great phone, flexible, without the proprietary constraints of my old iPhone. Great screen. I use it overseas and back home with a simple switch of my sim card."", ""excellent choise in this cell phone and great colour too. i recomend it. no more to say. . . . . . . .""]",24.009707994991913
G_016,REC_016,B00394NT20,Health_and_Personal_Care,short,descriptive,pc,3,Is there a warranty?,[UNANSWERABLE],,0,"[""KB_00145"", ""KB_00143"", ""KB_00144""]","[""You cannot get it back in the box for a return. If it works for you great but regard this as a gamble for your money. If it breaks - tough luck."", ""i have been using this stool on a daily basis for more than 2 years and i love it! my only complaint is that the rubber feet on the bottom get mildew on them and they are hard to clean."", ""all in all i am happy with this shower stool. assembling it was fool proof, it is very sturdy and you don't have to be afraid that you (or your loved one) will fall off. the \""swivel\"" part is actually pretty nifty, too. only problem is with the shelf - it won't stay in place. i have a narrow bathtub and it fit perfectly as well.""]",10.30341700243298
G_017,REC_017,B0056FL4FY,Beauty,long,descriptive,pc,3,"does not say if its an american or ueropean plug and ive ordered this before and got a ueropean plug, provide necessary info",[UNANSWERABLE],,0,"[""KB_00152"", ""KB_00158"", ""KB_00155""]","[""I ordered this for a present for my little sister who just started doing her own nails. When she got it in the mail she immediately opened it to find that it had the wrong type of prongs for American electrical outlets! We think it might be French? who knows? ?After contacting the seller Via E-mail they did everything in their power to work out a solution with me. I changed my rating from a 1 star to a 5."", ""It broke as soon as I plugged it in ! didn't even use it yet  the power cord  ...plug fell apart ."", ""I ordered this and it did not work so waited another month for THE replacement got the replacement and did on hand and it never turned back on do not buy this product very CHEAP""]",27.61533300508745
G_018,REC_018,B00154MGXY,Home_and_Kitchen,long,descriptive,pc,3,Is this item 35.43 inches at the very top or the body of the unit?,[UNANSWERABLE],,0,"[""KB_00162"", ""KB_00165"", ""KB_00166""]","[""My wife ordered it, It was about two inches to big at the top, becuase of the molding,So it didn't work for what we needed."", ""I really like this storage cabinet. It looks good and was very easy to put together. It was also much more inexpensive than purchasing a previously assembled unit of this size, and then paying for delivery (I don't have a truck and you would need one to deliver a cabinet this large). The only thing that kept me from giving it 5 stars is the fact that the center divider and top shelf is necessary to hold the unit together."", ""Purchased this item to be used in the kitchen, to store food items and it worked perfectly. Easy to assemble and great price.""]",23.57470800052397
