golden_id,record_id,asin,category,q_bucket,question_type,pipeline,k,question,gold_answer,evidence_doc_id,is_answerable,retrieved_doc_ids,retrieved_context,retrieval_ms
G_001,REC_001,B00E7LVBCE,Electronics,medium,descriptive,hybrid,1,My computer is DVI-I.  This monitor is DVI-D.  Is it compatible?,[UNANSWERABLE],,1,"[""KB_00001""]","[""Excellent. I wanted a monitor to connect to my laptop. I am enjoying with my new dell monitor good.It has both VGA and DVI options. Would have given 5 rating if the VGA cable was of good quality. Its of very poor quality.""]",99.67816702555865
G_002,REC_002,B008N7CCJY,Electronics,medium,descriptive,hybrid,1,Can I use this for my android tablet in the car,"Dear Ann I do not own a tablet,however the purpose of this transmitter is to broadcast a signal thru your car stereo from outside devices, when you carstereo does not have an 3.5mm cable port this is a substitute.So if you are planing to play music thru your tablet ( AND ) if your tablet has a ear phone jack then yes it should work",KB_00016,1,"[""KB_00012""]","[""I use this in my car all of the time when I'm waiting in my car for someone or when I am driving. I love it a lot I definitely recommend!""]",30.73854197282344
G_003,REC_003,B008VGQ4VO,Electronics,long,descriptive,hybrid,1,"Can anyone provide the cord length? My CPU is under my desk, and most earbuds only provide about 4', which is too short.",[UNANSWERABLE],,1,"[""KB_00023""]","[""Comfortable earbuds but there's already a short the sound and I'd say I've had these about a month. Not too happy about that.""]",33.96045800764114
G_004,REC_004,B00C53831I,Electronics,medium,descriptive,hybrid,1,Will These Work In My Dell Optiplex GX 620sff?,"Yes, they should work on your Dell Optiplex 620. I have a desktop of that vintage and these modules worked on mine. Here's a suggestion: Go to Crucial.com and take advantage of their memory scanner-----this will verify the kind of memory modules your computer needs-----this doesn't commit you to buying theirs.",KB_00033,1,"[""KB_00033""]","[""One needs to be careful in buying memory modules without the advice of the makers of these modules. If you know the exact nomenclature of the description (by a little research) of the modules you need, then it is safe to purchase same. These modules were just what I needed to expand the memory on my Dell desktop computer. Easy to install and ran my memory stress tests with no errors. A good buy at a bargain price.""]",27.279083034954965
G_005,REC_005,B006YVFGAS,Electronics,medium,descriptive,hybrid,1,Would I need to still buy a converter box for this antenna?,"Depends on your display monitor or TV. It needs to have a tuner built in to the display to go without a converter box. If it's an old heavy box CRT TV you will probably need a converter box. If it's a newer LCD TV than you probably don't. In a nutshell, your monitor or TV needs to be able to receive ATSC signals.",KB_00041,1,"[""KB_00041""]","[""I was a little worried that this antenna would be a waste of money, but I was wrong. After years of pixelation and moving my old rabbit ears around to try to get stations, I wanted to try something better. I have this going in to a digital converter box as I still have a tube TV. After messing around with the placement, I get more channels than before and I no longer have to worry about if where I sit in the room will affect my reception. Very good antenna!""]",28.65479199681431
G_006,REC_006,B00CGW74YU,Electronics,long,descriptive,hybrid,1,It appears to be an elastic band around the middle part of the lens. OUESTION: will this band interfere with the lens when  auto focusing?,[UNANSWERABLE],,1,"[""KB_00053""]","[""I love this product. The band fits great around the lens. No more worrying where to put the lens cap!""]",13.875082950107753
G_007,REC_007,B004HW6F9M,Electronics,medium,descriptive,hybrid,1,Do you need an amp for it?,Yes you do need an amp for it. I suggest pairing it with a pioneer digital amp. I have 2 of these In my TDI golf 2013 and they save so much space but have higher decibel readings then some of the extensive setups my friends have installed so far.,KB_00061,1,"[""KB_00061""]","[""i read all the reviews before i bought this and didnt see many bad ones. but i had to hear for myself. all i can say is holy crap. this thing is so small and sounds so huge. i have it in a 07 saturn vue running it with a pyramid 1000watt artic amp. if you need space and huuuuge sound buy this. buy it now!!!!!!!! !""]",36.56137501820922
G_008,REC_008,B00CAN8ETE,Electronics,medium,descriptive,hybrid,1,Has any one tried this with any car stereo 30-pin adapters?,It works with most 30 pin adapters. There are a get radios however that will not use the same protocol and do not work with the NAXA,KB_00072,1,"[""KB_00076""]","[""This thing never connected to any of my docks or with my car's 30pin cable. I sent it back and ordered the ViseeO Tune2Air WMA1000 which is more expensive, but works perfectly with every device I have and connects instantly in my car for A2DP Stereo Bluetooth music. Do yourself a favor and spend the extra money to get the ViseeO.""]",41.75987502094358
G_009,REC_009,B0013V3CQY,Electronics,long,descriptive,hybrid,1,Can this be connected to a laptop anyway to record if so what do I need if not what will I need to get,"Yes, mine is hooked up to a lap top via an EasyCAP DC60 - USB 2.0 Audio/video Creator Capture High-quality Analog Video and I use a software video capture program to record to the hard drive, however its tedious and I reccomend getting aZmodo PKD-DK4216-500GB H.264 Internet & 3G Phone Accessible 4-Channel DVR with 4 Night Vision Cameras and 500 GB HD for about 100 bucks more for easy recording of surveillance video.",KB_00086,1,"[""KB_00082""]","[""The LCD even has an option to scroll back and forth between the two.Cons:1) To record you do need to hook it up to a recording device. Sadly it does not record on its own which does limit it's helpfulness a bit.2) Sometimes when viewed on a larger TV, the screen can be a bit snowy. However it has never gotten nearly bad enough for me that I couldn't see what was going on outside.3)The camera does need to be sheltered when used outside.""]",32.97524992376566
G_010,REC_010,B004JKBVBY,Electronics,long,descriptive,hybrid,1,Polaroid GL10 PC Driver Does anyone know if Polaroid has issued a printer driver for PC (Win 7) to allow printing on the GL10?I have emailed the Polaroid Customer Contact with no reply.The product instructions say to contact poloriod.com for the software.  I can't find it on that site.Thanks.,"You have to go to, http://www.polaroid.com/en/greylabel and drag the large gray slider bar at the bottom of the page about half way to the right. There you will find links to the Android App, Mac, 32bit and 64bit Windows versions.",KB_00091,1,"[""KB_00094""]","[""I recently purchased the Portable GL10 Zink Printer from Amazon.com. I purchased the product in the view that it was a great idea and an extremely useful way of bringing back the old polaroid photograph style.However, whenever I downloaded the software from the Polaroid website which accompanies the printer, and decided to choose one of the overlaying filters for the photograph, my printer is no longer able to print the normal white border or any other filter.""]",41.797249927185476
G_011,REC_011,B00CVK49LI,Electronics,medium,descriptive,hybrid,1,How can I order this case in Italy? Help me please.,[UNANSWERABLE],,0,"[""KB_00101""]","[""Great product! The color and contrast of the case looks really nice and it fits on the laptop well. The case snaps onto the laptop sides, the bottom one seems to be more sturdier though. Would definitely buy another one if I ever needed it (or maybe a different color). Very happy with the product.""]",40.2277500834316
G_012,REC_012,B0045ZZKOM,Electronics,medium,descriptive,hybrid,1,Will this work with a D3200??,[UNANSWERABLE],,0,"[""KB_00115""]","[""Makes my pictures looks great. I have D7000 and fits perfectly and plus the kits great... so you dont need to buy anything else cuz it's included. Easy to use too, i'm a newbie in this ... quite easy to figure it out, if not.. it's always google it to find the answer.""]",34.08854210283607
G_013,REC_013,B007KMFXZ8,Electronics,medium,descriptive,hybrid,1,how to add a new genre,[UNANSWERABLE],,0,"[""KB_00122""]","[""No resume, which means if you stop in the middle of a recording and then go back to watch you have to find where you left off. Like taking a bookmark feature out of a book, ridiculous. But typically, new improved isn't always improved. And we lose the ability to rename a recording. That made no sense.""]",32.09979203529656
